ts,venue,market,description,bid,ask,bid_size,ask_size
2026-06-01T13:30:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4081,0.4345,68,121
2026-06-01T13:30:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3399,0.38,50,199
2026-06-01T13:30:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.296,0.3212,92,62
2026-06-01T13:30:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3985,0.4364,85,155
2026-06-01T13:30:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3388,0.3752,92,41
2026-06-01T13:30:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2973,0.3223,88,20
2026-06-01T13:30:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4026,0.4361,29,175
2026-06-01T13:30:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3409,0.369,244,136
2026-06-01T13:30:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2913,0.3178,295,64
2026-06-01T13:30:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4029,0.4399,72,162
2026-06-01T13:30:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3368,0.3673,282,286
2026-06-01T13:30:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2885,0.3186,203,132
2026-06-01T13:30:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4029,0.4422,209,197
2026-06-01T13:30:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3377,0.3647,120,195
2026-06-01T13:30:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2879,0.3179,221,58
2026-06-01T13:30:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4041,0.4305,49,147
2026-06-01T13:30:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3422,0.3753,267,143
2026-06-01T13:30:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2834,0.3232,277,212
2026-06-01T13:31:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3971,0.4353,270,119
2026-06-01T13:31:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.345,0.3772,206,193
2026-06-01T13:31:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2911,0.3165,112,272
2026-06-01T13:31:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4001,0.4252,159,134
2026-06-01T13:31:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3453,0.3873,203,42
2026-06-01T13:31:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2783,0.3236,171,112
2026-06-01T13:31:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3933,0.428,52,103
2026-06-01T13:31:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3569,0.3828,195,267
2026-06-01T13:31:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2799,0.3197,87,239
2026-06-01T13:31:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.386,0.426,26,231
